Company,Symbol
Oceaneering International Inc,OII
iPath S&P GSCI Crude Oil TR ETN ,OIL
Oil States International Inc,OIS
ONEOK Partners LP,OKS
Ocean RIG UDW Inc,ORIG
PHLX Oil Service Sector,OSX
Occidental Petroleum Corp,OXY
Plains All American Pipeline LP,PAA
Pacific Drilling SA,PACD
Plains GP Holdings LP,PAGP
Pembina Pipeline Corp,PBA
PBF Energy Inc,PBF
PBF Logistics LP,PBFX
Petroleo Brasileiro SA Petrobras (ADR),PBR
Permian Basin Royalty Trust,PBT
PDC Energy Inc,PDCE
Precision Drilling Corp,PDS
Parsley Energy Inc,PE
PEDEVCO Corp,PED
Pacific Ethanol Inc,PEIX
SandRidge Permian Trust,PER
Pioneer Energy Services Corp,PES
Profire Energy Inc,PFIE
Pengrowth Energy Corp,PGH
Paragon Offshore PLC,PGN
PHI Inc,PHIIK
Panhandle Oil and Gas Inc,PHX
Parker Drilling Co,PKD
POSCO (ADR),PKX
PrimeEnergy Corp,PNRG
Petroquest Energy Inc,PQ
PostRock Energy Corp,PSTR
Phillips 66,PSX
Phillips 66 Partners LP,PSXP
Patterson-UTI Energy Inc,PTEN
PetroChina Co Ltd,PTR
Penntex Midstream Partners LP,PTXP
Penn West Petroleum Ltd,PWE
Pioneer Natural Resources Co,PXD
Petrobras Argentina SA,PZE
iShares Trust,QAT
QEP Resources Inc,QEP
Recon Technology Ltd,RCON
Rowan Companies PLC,RDC
Royal Dutch Shell plc (ADR),RDS.A
Renewable Energy Group Inc,REGI
Ring Energy Inc,REI
Resolute Energy Corp,REN
RPC Inc,RES
Rex Energy Corp,REXX
Rice Energy Inc,RICE
Transocean LTD,RIG
Rio Tinto plc (ADR),RIO
Rice Midstream Partners LP,RMP
Royale Energy Inc,ROYL
Pacific Coast Oil Trust,ROYT
Range Resources Corp,RRC
RSP Permian Inc,RSPP
SAExploration Holdings Inc,SAEX
Saratoga Resources Inc,SARA
Southern Copper Corp,SCCO
Schnitzer,SCHN
iShares MSCI EAFE Small-Cap ETF,SCZ
SandRidge Energy Inc,SD
Seadrill Partners LLC,SDLP
Superior Drilling Products Inc,SDPI
Sandridge Mississippian Trust II,SDR
Seadrill Ltd,SDRL
SandRidge Mississippian Trust I,SDT
SemGroup Corp,SEMG
Spectra Energy Partners LP,SEP
Star Gas Partners LP,SGU
Stone Energy Corp,SGY
Sinopec Shanghai Petrochemical Co Ltd,SHI
Shell Midstream Partners LP,SHLX
San Juan Basin Royalty Trust,SJT
Schlumberger NV,SLB
iShares 0-5 Year Investment Grade Corporate Bond ETF,SLQD
SM Energy Co,SM
Summit Midstream Partners LP,SMLP
Sanchez Energy Corp,SN
China Petroleum & Chemical Corp,SNP
iShares S&P NA Tec. Semi. Idx. Fd.(ETF),SOXX
Superior Energy Services Inc,SPN
Sanchez Production Partners LP,SPP
SunPower Corporation,SPWR
SPDR S&P 500 ETF Trust,SPY
Sprague Resources LP,SRLP
Seventy Seven Energy Inc,SSE
Sasol Ltd,SSL
Samson Oil and Gas Ltd,SSN
Scorpio Tankers Inc,STNG
Statoil ASA,STO
Suncor Energy Inc,SU
Subsea 7 S.A.,SUBCO
Sunoco LP,SUN
Southwestern Energy Co,SWN
Steel Excel Inc,SXCL
Sunoco Logistics Partners LP,SXL
TransAtlantic Petroleum Ltd,TAT
TC PipeLines LP,TCP
Tidewater Inc,TDW
Tallgrass Energy GP LP,TEGP
Tellurian Inc,TELL
Tallgrass Energy Partners LP,TEP
TESCO Corp,TESO
TransGlobe Energy Corp,TGA
Tengasco Inc,TGC
Tesoro Logistics LP,TLLP
TransMontaigne Partners LP,TLP
iShares Barclays 20+ Yr Treas.Bond (ETF),TLT
Total SA,TOT
Triangle Petroleum Corp,TPLM
Torchlight Energy Resources Inc,TRCH
Targa Resources Corp,TRGP
Torm A/S (ADR),TRMD
TransCanada Corp,TRP
Tenaris SA (ADR),TS
Tesla Inc,TSLA
Tesoro Corp,TSO
"Tetra Tech, Inc.",TTEK
Tetra Technologies Inc,TTI
iShares Trust,UAE
"Union Drilling, Inc.",UDRL
Ultrapar Participacoes SA,UGP
United States Natural Gas,UNG
Unit Corp,UNT
Ultra Petroleum Corp.,UPL
USA Compression Partners LP,USAC
US Energy Corp,USEG
United States Oil Fund LP (ETF),USO
Vale SA (ADR),VALE
Vedanta Resources plc,VED
Vermilion Energy Inc,VET
Vallourec SA,VK
Valero Energy Corp,VLO
Valero Energy Partners LP,VLP
Viper Energy Partners LP,VNOM
VOC Energy Trust,VOC
Vantage Drilling Co,VTG
Vertex Energy Inc,VTNR
VTTI Energy Partners LP,VTTI
Western Gas Partners LP,WES
Weatherford International PLC,WFT
Willbros Group Inc,WG
Western Gas Equity Partners LP,WGP
Whiting Petroleum Corp,WLL
Williams Companies Inc,WMB
Western Refining Inc,WNR
Western Refining Logistics LP,WNRL
iShares S&P Global Timbr & Frstry Idx,WOOD
World Point Terminals LP,WPT
WPX Energy Inc,WPX
Williams Partners LP,WPZ
Warren Resources Inc,WRES
W&T Offshore Inc,WTI
United States Steel Corporation,X
EXCO Resources Inc,XCO
Cimarex Energy Co,XEC
Materials Select Sector SPDR,XLB
Energy Select Sector SPDR (ETF),XLE
Utilities Select Sector SPDR ETF (XLU),XLU
Exxon Mobil Corporation,XOM
Exxon Mobil Corp,XOM
SPDR oil and gas Exploration and Production ETF,XOP
YPF SA,YPF
Yuma Energy Inc,YUMA
ZaZa Energy Corp,ZAZA
"Olympic Steel, Inc.",ZEUS
Zion Oil and Gas Inc,ZN
